CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Date,Time,PollutionLevel
0.084033613,0.040816327,0.031778229,0.155882353,0.183856502,0.685456595,0.298520843,3/11/2004,23.00.00,0
0.142857143,0.092621664,0.082488168,0.285294118,0.186098655,0.659526494,0.288659794,3/12/2004,00.00.00,1
0.159663866,0.100470958,0.089925625,0.323529412,0.17264574,0.673055242,0.28283281,3/12/2004,01.00.00,1
0.117647059,0.064364207,0.055442867,0.267647059,0.159192825,0.696730552,0.281488122,3/12/2004,02.00.00,1
0.067226891,0.029827316,0,0,0.156950673,0.702367531,0.280591663,3/12/2004,03.00.00,0
0,0.017268446,0.014198783,0.094117647,0.1367713,0.742953777,0.280143433,3/12/2004,04.00.00,0
0.050420168,0.015698587,0.020283976,0.129411765,0.141255605,0.732807215,0.279246974,3/12/2004,05.00.00,0
0.067226891,0.028257457,0.037863421,0.208823529,0.152466368,0.709131905,0.279246974,3/12/2004,06.00.00,0
0.117647059,0.069073783,0.073698445,0.305882353,0.143497758,0.733934611,0.28328104,3/12/2004,07.00.00,1
0.369747899,0.28100471,0.207572684,0.414705882,0.16367713,0.711386697,0.291349171,3/12/2004,08.00.00,2
0,0.346938776,0,0,0.206278027,0.633596392,0.294038548,3/12/2004,09.00.00,2
0.260504202,0.21978022,0.126436782,0.358823529,0.295964126,0.470124014,0.28328104,3/12/2004,10.00.00,2
0.226890756,0.182103611,0.146044625,0.420588235,0.320627803,0.432919955,0.279695204,3/12/2004,11.00.00,2
0.176470588,0.160125589,0.096686951,0.332352941,0.33632287,0.411499436,0.277902286,3/12/2004,12.00.00,2
0.210084034,0.172684458,0.108181204,0.341176471,0.360986547,0.388951522,0.280591663,3/12/2004,13.00.00,2
0.226890756,0.200941915,0.110209601,0.361764706,0.365470852,0.402480271,0.294038548,3/12/2004,14.00.00,2
0.243697479,0.222919937,0.128465179,0.370588235,0.35426009,0.417136415,0.296279695,3/12/2004,15.00.00,2
0.235294118,0.199372057,0.120351589,0.352941176,0.356502242,0.419391206,0.298520843,3/12/2004,16.00.00,2
0.201680672,0.183673469,0.101419878,0.35,0.378923767,0.386696731,0.293590318,3/12/2004,17.00.00,2
0.327731092,0.302982732,0.1392833,0.438235294,0.338565022,0.446448703,0.303451367,3/12/2004,18.00.00,2
0.31092437,0.285714286,0.136578769,0.426470588,0.322869955,0.489289741,0.317346481,3/12/2004,19.00.00,2
0.554621849,0.51177394,0.229885057,0.5,0.289237668,0.569334837,0.335275661,3/12/2004,20.00.00,2
0.369747899,0.315541601,0.185260311,0.438235294,0.271300448,0.600901917,0.337965038,3/12/2004,21.00.00,2
0.294117647,0.224489796,0.171061528,0.408823529,0.246636771,0.666290868,0.346929628,3/12/2004,22.00.00,2
0.453781513,0.342229199,0.202839757,0.394117647,0.217488789,0.728297632,0.348274316,3/12/2004,23.00.00,2
0.226890756,0.150706436,0.130493577,0.332352941,0.213004484,0.722660654,0.340654415,3/13/2004,00.00.00,2
0.159663866,0.116169545,0.093982421,0.285294118,0.204035874,0.720405862,0.332586284,3/13/2004,01.00.00,1
0.134453782,0.08477237,0.056118999,0.241176471,0.197309417,0.720405862,0.325414612,3/13/2004,02.00.00,1
0.142857143,0.08477237,0,0,0.174887892,0.760992108,0.321380547,3/13/2004,03.00.00,1
0,0.09733124,0.073698445,0.244117647,0.156950673,0.801578354,0.320932317,3/13/2004,04.00.00,1
0.084033613,0.040816327,0.041920216,0.191176471,0.186098655,0.717023675,0.312864186,3/13/2004,05.00.00,0
0.100840336,0.045525903,0.035835024,0.176470588,0.161434978,0.760992108,0.308830121,3/13/2004,06.00.00,0
0.12605042,0.080062794,0.093982421,0.226470588,0.141255605,0.81059752,0.310623039,3/13/2004,07.00.00,1
0.226890756,0.185243328,0.173089926,0.282352941,0.14573991,0.807215333,0.311519498,3/13/2004,08.00.00,2
0.31092437,0.237048666,0.199459094,0.35,0.215246637,0.673055242,0.319139399,3/13/2004,09.00.00,2
0.268907563,0.202511774,0.16903313,0.370588235,0.278026906,0.577226607,0.329000448,3/13/2004,10.00.00,2
0.344537815,0.252747253,0.200135227,0.464705882,0.349775785,0.475760992,0.333930973,3/13/2004,11.00.00,2
0.302521008,0.21978022,0.161595673,0.473529412,0.412556054,0.381059752,0.317794711,3/13/2004,12.00.00,2
0.235294118,0.193092622,0.103448276,0.364705882,0.434977578,0.352874859,0.311519498,3/13/2004,13.00.00,2
0.168067227,0.135007849,0.079783638,0.3,0.403587444,0.392333709,0.319587629,3/13/2004,14.00.00,1
0.168067227,0.144427002,0.08045977,0.341176471,0.412556054,0.378804961,0.315553563,3/13/2004,15.00.00,2
0.210084034,0.160125589,0.093306288,0.364705882,0.394618834,0.395715896,0.314208875,3/13/2004,16.00.00,2
0.193277311,0.166405024,0.100067613,0.367647059,0.374439462,0.426155581,0.319139399,3/13/2004,17.00.00,2
0.268907563,0.2433281,0.153482082,0.435294118,0.360986547,0.462232244,0.333930973,3/13/2004,18.00.00,2
0.352941176,0.307692308,0.187288709,0.485294118,0.35426009,0.478015784,0.339309727,3/13/2004,19.00.00,2
0.352941176,0.301412873,0.188640974,0.473529412,0.352017937,0.497181511,0.349170775,3/13/2004,20.00.00,2
0.352941176,0.287284144,0.191345504,0.467647059,0.343049327,0.527621195,0.36261766,3/13/2004,21.00.00,2
0.260504202,0.205651491,0.14469236,0.420588235,0.32735426,0.547914318,0.361272972,3/13/2004,22.00.00,2
0.218487395,0.1711146,0.116294794,0.382352941,0.329596413,0.555806088,0.367099955,3/13/2004,23.00.00,2
0.243697479,0.172684458,0.128465179,0.379411765,0.311659193,0.604284104,0.380995069,3/14/2004,00.00.00,2
0.235294118,0.186813187,0.117647059,0.35,0.32735426,0.580608794,0.382787987,3/14/2004,01.00.00,2
0.210084034,0.135007849,0.086544963,0.305882353,0.280269058,0.664036077,0.382787987,3/14/2004,02.00.00,2
0.201680672,0.152276295,0,0,0.260089686,0.714768884,0.388614971,3/14/2004,03.00.00,2
0,0.081632653,0.047329277,0.241176471,0.271300448,0.688838782,0.385477364,3/14/2004,04.00.00,1
0.100840336,0.058084772,0.035835024,0.205882353,0.257847534,0.711386697,0.382339758,3/14/2004,05.00.00,0
0.084033613,0.039246468,0.029749831,0.185294118,0.260089686,0.701240135,0.379650381,3/14/2004,06.00.00,0
0.075630252,0.037676609,0.050033807,0.197058824,0.233183857,0.762119504,0.382339758,3/14/2004,07.00.00,0
0.117647059,0.065934066,0.068289385,0.247058824,0.260089686,0.706877114,0.382339758,3/14/2004,08.00.00,1
0.134453782,0.100470958,0.079783638,0.244117647,0.278026906,0.67643743,0.386822053,3/14/2004,09.00.00,1
0.18487395,0.135007849,0.097363083,0.288235294,0.325112108,0.598647125,0.391304348,3/14/2004,10.00.00,2
0.235294118,0.1711146,0.118999324,0.335294118,0.378923767,0.519729425,0.393993725,3/14/2004,11.00.00,2
0.235294118,0.167974882,0.108857336,0.35,0.432735426,0.431792559,0.379650381,3/14/2004,12.00.00,2
0.168067227,0.117739403,0.076402975,0.305882353,0.475336323,0.354002255,0.350067234,3/14/2004,13.00.00,1
0.151260504,0.117739403,0.06964165,0.3,0.479820628,0.340473506,0.341550874,3/14/2004,14.00.00,1
0.159663866,0.128728414,0.075726842,0.314705882,0.49103139,0.326944758,0.337516809,3/14/2004,15.00.00,1
0.25210084,0.186813187,0.114942529,0.379411765,0.497757848,0.320180383,0.337068579,3/14/2004,16.00.00,2
0.243697479,0.188383046,0.121703854,0.376470588,0.477578475,0.34723788,0.34513671,3/14/2004,17.00.00,2
0.210084034,0.191522763,0.108181204,0.355882353,0.441704036,0.413754228,0.372478709,3/14/2004,18.00.00,2
0.386554622,0.323390895,0.176470588,0.461764706,0.412556054,0.470124014,0.391304348,3/14/2004,19.00.00,2
0.495798319,0.362637363,0.21974307,0.508823529,0.394618834,0.519729425,0.412819364,3/14/2004,20.00.00,2
0.285714286,0.230769231,0.146720757,0.429411765,0.374439462,0.559188275,0.417749888,3/14/2004,21.00.00,2
0.176470588,0.141287284,0.098715348,0.355882353,0.365470852,0.574971815,0.418646347,3/14/2004,22.00.00,2
0.18487395,0.138147567,0.102772143,0.35,0.329596413,0.630214205,0.417301658,3/14/2004,23.00.00,2
0.151260504,0.116169545,0.070317782,0.291176471,0.331838565,0.616685457,0.410578216,3/15/2004,00.00.00,1
0.151260504,0.108320251,0.071670047,0.273529412,0.313901345,0.642615558,0.40744061,3/15/2004,01.00.00,1
0.151260504,0.10989011,0.073022312,0.258823529,0.30044843,0.691093574,0.419542806,3/15/2004,02.00.00,1
0.092436975,0.069073783,0,0,0.282511211,0.71589628,0.413715823,3/15/2004,03.00.00,0
0,0.062794349,0.044624746,0.208823529,0.275784753,0.737316798,0.419094576,3/15/2004,04.00.00,0
0.084033613,0.06122449,0.059499662,0.217647059,0.266816143,0.759864713,0.420439265,3/15/2004,05.00.00,0
0.117647059,0.100470958,0.093306288,0.235294118,0.255605381,0.79481398,0.42492156,3/15/2004,06.00.00,1
0.18487395,0.152276295,0.154158215,0.261764706,0.253363229,0.791431793,0.421335724,3/15/2004,07.00.00,2
0.462184874,0.406593407,0.243407708,0.335294118,0.278026906,0.720405862,0.411026446,3/15/2004,08.00.00,2
0.680672269,0.576138148,0.323191346,0.438235294,0.331838565,0.612175874,0.40699238,3/15/2004,09.00.00,2
0.487394958,0.417582418,0.266396214,0.461764706,0.390134529,0.514092446,0.402958315,3/15/2004,10.00.00,2
0.352941176,0.315541601,0.215686275,0.455882353,0.443946188,0.434047351,0.394441954,3/15/2004,11.00.00,2
0.260504202,0.221350078,0.135902637,0.394117647,0.493273543,0.384441939,0.398924249,3/15/2004,12.00.00,2
0.243697479,0.233908948,0.115618661,0.35,0.522421525,0.363021421,0.407888839,3/15/2004,13.00.00,2
0.243697479,0.241758242,0.107505071,0.326470588,0.535874439,0.338218715,0.392649036,3/15/2004,14.00.00,2
0.210084034,0.189952904,0.103448276,0.305882353,0.547085202,0.325817362,0.391752577,3/15/2004,15.00.00,2
0.193277311,0.180533752,0.096686951,0.291176471,0.547085202,0.33145434,0.396683102,3/15/2004,16.00.00,2
0.235294118,0.232339089,0.105476673,0.323529412,0.533632287,0.352874859,0.409681757,3/15/2004,17.00.00,2
0.512605042,0.503924647,0.212305612,0.476470588,0.504484305,0.399098083,0.428059166,3/15/2004,18.00.00,2
0.672268908,0.615384615,0.273157539,0.55,0.457399103,0.479143179,0.452263559,3/15/2004,19.00.00,2
0.546218487,0.486656201,0.216362407,0.485294118,0.410313901,0.593010147,0.490811295,3/15/2004,20.00.00,2
0.352941176,0.312401884,0.173089926,0.426470588,0.374439462,0.647125141,0.483639623,3/15/2004,21.00.00,2
0.268907563,0.240188383,0.130493577,0.367647059,0.352017937,0.678692221,0.477364411,3/15/2004,22.00.00,2
0.117647059,0.108320251,0.060175794,0.297058824,0.343049327,0.69222097,0.474226804,3/15/2004,23.00.00,1
0.176470588,0.174254317,0.08586883,0.302941176,0.316143498,0.740698985,0.470192739,3/16/2004,00.00.00,1
0.100840336,0.08477237,0.053414469,0.258823529,0.331838565,0.683201804,0.454952936,3/16/2004,01.00.00,1
0.067226891,0.043956044,0.029073698,0.179411765,0.331838565,0.667418264,0.44285074,3/16/2004,02.00.00,0
0.058823529,0.03610675,0,0,0.304932735,0.70011274,0.432093232,3/16/2004,03.00.00,0
0,0.040816327,0.039891819,0.173529412,0.275784753,0.746335964,0.423576871,3/16/2004,04.00.00,0
0.050420168,0.031397174,0.025693036,0.152941176,0.286995516,0.712514092,0.41595697,3/16/2004,05.00.00,0
0.075630252,0.054945055,0.055442867,0.188235294,0.251121076,0.772266065,0.40699238,3/16/2004,06.00.00,0
0.109243697,0.080062794,0.06693712,0.205882353,0.246636771,0.749718151,0.390407889,3/16/2004,07.00.00,0
0.285714286,0.254317111,0.177822853,0.285294118,0.262331839,0.718151071,0.390856118,3/16/2004,08.00.00,2
0.31092437,0.309262166,0.154834348,0.279411765,0.304932735,0.634723788,0.391752577,3/16/2004,09.00.00,2
0.445378151,0.394034537,0.267748479,0.441176471,0.399103139,0.483652762,0.388614971,3/16/2004,10.00.00,2
0.344537815,0.313971743,0.212305612,0.476470588,0.479820628,0.375422773,0.377409234,3/16/2004,11.00.00,2
0.277310924,0.287284144,0.146720757,0.452941176,0.547085202,0.308906426,0.368892873,3/16/2004,12.00.00,2
0.336134454,0.350078493,0.170385396,0.473529412,0.567264574,0.294250282,0.370237562,3/16/2004,13.00.00,2
0.319327731,0.320251177,0.177822853,0.473529412,0.578475336,0.261555806,0.340206186,3/16/2004,14.00.00,2
0.235294118,0.229199372,0.121703854,0.376470588,0.605381166,0.227733935,0.317794711,3/16/2004,15.00.00,2
0.243697479,0.260596546,0.124408384,0.379411765,0.632286996,0.209695603,0.314208875,3/16/2004,16.00.00,2
0.243697479,0.248037677,0.128465179,0.391176471,0.627802691,0.215332582,0.31824294,3/16/2004,17.00.00,2
0.285714286,0.279434851,0.124408384,0.408823529,0.535874439,0.289740699,0.337068579,3/16/2004,18.00.00,2
0.327731092,0.299843014,0.122379986,0.402941176,0.477578475,0.392333709,0.391304348,3/16/2004,19.00.00,2
0.268907563,0.248037677,0.112237999,0.420588235,0.457399103,0.413754228,0.389959659,3/16/2004,20.00.00,2
0.428571429,0.390894819,0.214334009,0.520588235,0.426008969,0.465614431,0.403854774,3/16/2004,21.00.00,2
0.218487395,0.211930926,0.124408384,0.405882353,0.401345291,0.517474634,0.418646347,3/16/2004,22.00.00,2
0.142857143,0.142857143,0.087897228,0.344117647,0.374439462,0.551296505,0.413715823,3/16/2004,23.00.00,2
0.142857143,0.135007849,0.089249493,0.314705882,0.347533632,0.596392334,0.41550874,3/17/2004,00.00.00,1
0.100840336,0.08477237,0.06423259,0.264705882,0.347533632,0.585118377,0.406095921,3/17/2004,01.00.00,1
0.075630252,0.064364207,0.047329277,0.232352941,0.316143498,0.626832018,0.399372479,3/17/2004,02.00.00,1
0.058823529,0.040816327,0,0,0.293721973,0.65276212,0.388614971,3/17/2004,03.00.00,0
0,0.029827316,0.036511156,0.176470588,0.284753363,0.65276212,0.378753922,3/17/2004,04.00.00,0
0.042016807,0.025117739,0.018931711,0.117647059,0.264573991,0.653889515,0.359928283,3/17/2004,05.00.00,0
0.042016807,0.029827316,0.031102096,0.155882353,0.266816143,0.647125141,0.357687136,3/17/2004,06.00.00,0
0.134453782,0.117739403,0.108181204,0.247058824,0.221973094,0.735062007,0.356790677,3/17/2004,07.00.00,1
0.344537815,0.335949765,0.216362407,0.317647059,0.248878924,0.678692221,0.356790677,3/17/2004,08.00.00,2
0.554621849,0.571428571,0.254901961,0.373529412,0.316143498,0.563697858,0.359480054,3/17/2004,09.00.00,2
0.361344538,0.334379906,0.189317106,0.394117647,0.396860987,0.452085682,0.360824742,3/17/2004,10.00.00,2
0.243697479,0.241758242,0.149425287,0.397058824,0.47309417,0.376550169,0.370685791,3/17/2004,11.00.00,2
0.210084034,0.196232339,0.14198783,0.417647059,0.544843049,0.319052988,0.379650381,3/17/2004,12.00.00,2
0.235294118,0.237048666,0.137931034,0.45,0.573991031,0.288613303,0.369789332,3/17/2004,13.00.00,2
0.218487395,0.215070644,0.108857336,0.361764706,0.580717489,0.29199549,0.380995069,3/17/2004,14.00.00,2
0.168067227,0.163265306,0.09127789,0.305882353,0.600896861,0.210822999,0.291349171,3/17/2004,15.00.00,1
0.243697479,0.238618524,0.125760649,0.379411765,0.656950673,0.178128523,0.28283281,3/17/2004,16.00.00,2
0.210084034,0.193092622,0.099391481,0.335294118,0.639013453,0.167981962,0.255939041,3/17/2004,17.00.00,2
0.420168067,0.423861852,0.202163624,0.464705882,0.580717489,0.180383315,0.234872255,3/17/2004,18.00.00,2
0.638655462,0.602825746,0.277890467,0.570588235,0.51793722,0.298759865,0.331689825,3/17/2004,19.00.00,2
0.56302521,0.551020408,0.234617985,0.535294118,0.459641256,0.430665163,0.409233528,3/17/2004,20.00.00,2
0.478991597,0.42700157,0.227180527,0.529411765,0.428251121,0.480270575,0.416405199,3/17/2004,21.00.00,2
0.235294118,0.235478807,0.136578769,0.4,0.385650224,0.497181511,0.383684446,3/17/2004,22.00.00,2
0.218487395,0.246467818,0.120351589,0.373529412,0.358744395,0.573844419,0.412819364,3/17/2004,23.00.00,2
0.193277311,0.204081633,0.104124408,0.341176471,0.331838565,0.607666291,0.404303003,3/18/2004,00.00.00,2
0.117647059,0.127158556,0.062204192,0.314705882,0.320627803,0.624577227,0.402510085,3/18/2004,01.00.00,1
0.084033613,0.086342229,0.041244084,0.258823529,0.331838565,0.587373168,0.38951143,3/18/2004,02.00.00,1
0.058823529,0.056514914,0,0,0.311659193,0.607666291,0.380995069,3/18/2004,03.00.00,0
0,0.045525903,0.040567951,0.229411765,0.260089686,0.697857948,0.378305693,3/18/2004,04.00.00,1
0.050420168,0.039246468,0.025016903,0.167647059,0.269058296,0.664036077,0.368892873,3/18/2004,05.00.00,0
0.058823529,0.047095761,0.045977011,0.208823529,0.244394619,0.70011274,0.363514119,3/18/2004,06.00.00,0
0.12605042,0.120879121,0.093982421,0.25,0.237668161,0.713641488,0.361721201,3/18/2004,07.00.00,1
0.394957983,0.36577708,0.229208925,0.364705882,0.257847534,0.67643743,0.363962349,3/18/2004,08.00.00,2
0.554621849,0.562009419,0.284651792,0.444117647,0.320627803,0.570462232,0.367099955,3/18/2004,09.00.00,2
0.378151261,0.334379906,0.23597025,0.441176471,0.399103139,0.456595265,0.367996414,3/18/2004,10.00.00,2
0.235294118,0.224489796,0.151453685,0.447058824,0.466367713,0.387824126,0.375168086,3/18/2004,11.00.00,2
0.18487395,0.196232339,0.115618661,0.408823529,0.533632287,0.317925592,0.368444644,3/18/2004,12.00.00,2
0.18487395,0.191522763,0.100743746,0.391176471,0.542600897,0.32356257,0.381891528,3/18/2004,13.00.00,2
0.193277311,0.205651491,0.092630156,0.370588235,0.565022422,0.280721533,0.350963693,3/18/2004,14.00.00,2
0.18487395,0.226059655,0.100743746,0.376470588,0.605381166,0.200676437,0.281488122,3/18/2004,15.00.00,2
0.235294118,0.263736264,0.116294794,0.497058824,0.607623318,0.26042841,0.366651726,3/18/2004,16.00.00,2
0.226890756,0.227629513,0.112237999,0.438235294,0.578475336,0.269447576,0.350963693,3/18/2004,17.00.00,2
0.31092437,0.337519623,0.14469236,0.458823529,0.515695067,0.302142052,0.333930973,3/18/2004,18.00.00,2
0.428571429,0.4144427,0.189317106,0.494117647,0.464125561,0.350620068,0.337068579,3/18/2004,19.00.00,2
0.428571429,0.408163265,0.186612576,0.517647059,0.417040359,0.408117249,0.344240251,3/18/2004,20.00.00,2
0.268907563,0.221350078,0.120351589,0.397058824,0.358744395,0.545659526,0.393097266,3/18/2004,21.00.00,2
0.176470588,0.161695447,0.087221095,0.355882353,0.325112108,0.651634724,0.424025101,3/18/2004,22.00.00,2
0.142857143,0.130298273,0.06423259,0.291176471,0.293721973,0.72378805,0.430748543,3/18/2004,23.00.00,1
0.168067227,0.139717425,0.085192698,0.311764706,0.269058296,0.785794814,0.436575527,3/19/2004,00.00.00,1
0.134453782,0.103610675,0.06964165,0.282352941,0.266816143,0.801578354,0.444643658,3/19/2004,01.00.00,1
0.075630252,0.056514914,0.032454361,0.185294118,0.280269058,0.781285231,0.449574182,3/19/2004,02.00.00,0
0.058823529,0.039246468,0,0,0.280269058,0.760992108,0.437920215,3/19/2004,03.00.00,0
0,0.028257457,0.01352265,0.094117647,0.275784753,0.7632469,0.43343792,3/19/2004,04.00.00,0
0.042016807,0.020408163,0.012170385,0.082352941,0.280269058,0.753100338,0.431196773,3/19/2004,05.00.00,0
0.058823529,0.03610675,0.037863421,0.179411765,0.275784753,0.74746336,0.425369789,3/19/2004,06.00.00,0
0.12605042,0.105180534,0.07775524,0.291176471,0.278026906,0.73167982,0.418198117,3/19/2004,07.00.00,1
0.403361345,0.357927786,0.216362407,0.461764706,0.291479821,0.694475761,0.412819364,3/19/2004,08.00.00,2
0.521008403,0.491365777,0.24137931,0.488235294,0.304932735,0.662908681,0.408785298,3/19/2004,09.00.00,2
0.336134454,0.301412873,0.171061528,0.438235294,0.311659193,0.643742954,0.404751233,3/19/2004,10.00.00,2
0.277310924,0.257456829,0.14739689,0.397058824,0.325112108,0.613303269,0.399820708,3/19/2004,11.00.00,2
0.235294118,0.21978022,0.129817444,0.373529412,0.347533632,0.564825254,0.391752577,3/19/2004,12.00.00,2
0.25210084,0.240188383,0.118999324,0.358823529,0.360986547,0.536640361,0.388166741,3/19/2004,13.00.00,2
0.277310924,0.262166405,0.133874239,0.397058824,0.365470852,0.531003382,0.387270282,3/19/2004,14.00.00,2
0.294117647,0.298273155,0.143340095,0.408823529,0.367713004,0.535512965,0.393993725,3/19/2004,15.00.00,2
0.336134454,0.30455259,0.168356998,0.432352941,0.360986547,0.565952649,0.40744061,3/19/2004,16.00.00,2
0.386554622,0.328100471,0.182555781,0.464705882,0.358744395,0.571589628,0.409681757,3/19/2004,17.00.00,2
0.344537815,0.31711146,0.156186613,0.429411765,0.35426009,0.567080045,0.402958315,3/19/2004,18.00.00,2
0.378151261,0.340659341,0.169709263,0.423529412,0.347533632,0.570462232,0.396234872,3/19/2004,19.00.00,2
0.327731092,0.310832025,0.14198783,0.405882353,0.34529148,0.579481398,0.401613626,3/19/2004,20.00.00,2
0.336134454,0.262166405,0.168356998,0.420588235,0.340807175,0.598647125,0.408785298,3/19/2004,21.00.00,2
0.18487395,0.142857143,0.096686951,0.341176471,0.329596413,0.649379932,0.428955625,3/19/2004,22.00.00,2
0.176470588,0.130298273,0.08586883,0.320588235,0.31838565,0.657271702,0.420439265,3/19/2004,23.00.00,1
0.142857143,0.091051805,0.070317782,0.270588235,0.30941704,0.65276212,0.40744061,3/20/2004,00.00.00,1
0.134453782,0.081632653,0.058147397,0.244117647,0.311659193,0.630214205,0.396234872,3/20/2004,01.00.00,1
0.109243697,0.064364207,0.050033807,0.238235294,0.311659193,0.626832018,0.393097266,3/20/2004,02.00.00,1
0.109243697,0.053375196,0,0,0.30941704,0.621195039,0.388614971,3/20/2004,03.00.00,0
0,0.045525903,0.029749831,0.161764706,0.30941704,0.615558061,0.384132676,3/20/2004,04.00.00,0
0.067226891,0.04866562,0.028397566,0.155882353,0.304932735,0.621195039,0.383684446,3/20/2004,05.00.00,0
0.067226891,0.039246468,0.042596349,0.197058824,0.304932735,0.665163472,0.409233528,3/20/2004,06.00.00,0
0.092436975,0.067503925,0.07775524,0.267647059,0.302690583,0.658399098,0.401613626,3/20/2004,07.00.00,1
0.176470588,0.139717425,0.114942529,0.332352941,0.30941704,0.653889515,0.40699238,3/20/2004,08.00.00,2
0.201680672,0.164835165,0.099391481,0.3,0.32735426,0.598647125,0.393097266,3/20/2004,09.00.00,2
0.218487395,0.196232339,0.112237999,0.314705882,0.33632287,0.589627959,0.39802779,3/20/2004,10.00.00,2
0.235294118,0.193092622,0.131845842,0.332352941,0.34529148,0.587373168,0.405647692,3/20/2004,11.00.00,2
0.218487395,0.183673469,0.123056119,0.317647059,0.365470852,0.563697858,0.410578216,3/20/2004,12.00.00,2
0.218487395,0.183673469,0.113590264,0.308823529,0.383408072,0.540022548,0.41595697,3/20/2004,13.00.00,2
0.176470588,0.14599686,0.084516565,0.273529412,0.426008969,0.483652762,0.419991035,3/20/2004,14.00.00,1
0.142857143,0.119309262,0.06423259,0.255882353,0.437219731,0.476888388,0.42492156,3/20/2004,15.00.00,1
0.134453782,0.105180534,0.053414469,0.223529412,0.437219731,0.476888388,0.425369789,3/20/2004,16.00.00,1
0.176470588,0.152276295,0.08045977,0.276470588,0.428251121,0.493799324,0.428507396,3/20/2004,17.00.00,1
0.193277311,0.19466248,0.096010818,0.323529412,0.414798206,0.521984216,0.436575527,3/20/2004,18.00.00,2
0.294117647,0.260596546,0.145368492,0.4,0.390134529,0.581736189,0.455401165,3/20/2004,19.00.00,2
0.327731092,0.257456829,0.154834348,0.408823529,0.383408072,0.578354002,0.444195428,3/20/2004,20.00.00,2
0.277310924,0.215070644,0.1392833,0.367647059,0.367713004,0.606538895,0.446436576,3/20/2004,21.00.00,2
0.193277311,0.155416013,0.099391481,0.326470588,0.3632287,0.624577227,0.454056477,3/20/2004,22.00.00,2
0.176470588,0.139717425,0.082488168,0.285294118,0.356502242,0.650507328,0.464365755,3/20/2004,23.00.00,1
