CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Date,Time,PoluutionLevel
0.244,0.672058824,0.137931034,0.181,0.467028004,0.14,0.366380917,0.376,0.623423423,0.411018629,0.179,0.914,0.392,3/11/2004,14.00.00,0
0.185,0.642156863,0.066442389,0.138,0.421409214,0.124,0.403279911,0.371,0.593513514,0.374950456,0.186,0.9,0.394,3/11/2004,15.00.00,0
0.185,0.633333333,0.079899075,0.13,0.411924119,0.13,0.41110697,0.385,0.573333333,0.379310345,0.217,0.803,0.384,3/11/2004,16.00.00,1
0.244,0.677941176,0.126156434,0.176,0.460704607,0.164,0.375698845,0.397,0.619459459,0.437574316,0.22,0.762,0.367,3/11/2004,17.00.00,1
0.403,0.775,0.258200168,0.327,0.595754291,0.19,0.297800969,0.444,0.750630631,0.558462148,0.231,0.724,0.362,3/11/2004,18.00.00,1
0.58,0.870588235,0.387720774,0.43,0.672086721,0.259,0.26164741,0.506,0.840720721,0.675386445,0.217,0.781,0.373,3/11/2004,19.00.00,1
0.513,0.803921569,0.3372582,0.377,0.634146341,0.237,0.276928811,0.485,0.78954955,0.655568767,0.215,0.764,0.364,3/11/2004,20.00.00,1
0.328,0.643627451,0.16568545,0.201,0.485998193,0.162,0.356690272,0.4,0.615135135,0.509314308,0.204,0.722,0.333,3/11/2004,21.00.00,1
0.126,0.473039216,0.051303616,0.074,0.338301716,0.064,0.493850168,0.25,0.48036036,0.325406262,0.184,0.715,0.31,3/11/2004,22.00.00,0
0.084,0.44754902,0.021867115,0.041,0.284101174,0.032,0.583302274,0.156,0.451171171,0.218787158,0.184,0.685,0.299,3/11/2004,23.00.00,0
0.143,0.529411765,0.046257359,0.093,0.363595303,0.082,0.467387253,0.285,0.495495495,0.323424495,0.186,0.66,0.289,3/12/2004,00.00.00,0
0.16,0.511764706,0.044575273,0.1,0.374435411,0.09,0.464778233,0.324,0.496576577,0.329766151,0.173,0.673,0.283,3/12/2004,01.00.00,0
0.118,0.484313725,0.033641716,0.064,0.32429991,0.055,0.520313082,0.268,0.46990991,0.274276655,0.159,0.697,0.281,3/12/2004,02.00.00,0
0.067,0.435784314,0.017661901,0.03,0.259259259,0,0.626164741,0,0.427747748,0.202933016,0.157,0.702,0.281,3/12/2004,03.00.00,0
0,0.407352941,0.008410429,0.017,0.228545619,0.014,0.705553485,0.094,0.408648649,0.152199762,0.137,0.743,0.28,3/12/2004,04.00.00,0
0.05,0.415196078,0.0058873,0.016,0.226287263,0.02,0.706298919,0.129,0.416216216,0.156163298,0.141,0.733,0.279,3/12/2004,05.00.00,0
0.067,0.454411765,0.014297729,0.028,0.257904246,0.038,0.628028327,0.209,0.440720721,0.193024178,0.152,0.709,0.279,3/12/2004,06.00.00,0
0.118,0.534803922,0.027754415,0.069,0.329719964,0.074,0.516958628,0.306,0.49045045,0.296472453,0.143,0.734,0.283,3/12/2004,07.00.00,0
0.37,0.777941176,0.169890664,0.281,0.558265583,0.208,0.334327246,0.415,0.684684685,0.554894966,0.164,0.711,0.291,3/12/2004,08.00.00,1
0,0.757352941,0,0.347,0.611111111,0,0.285874022,0,0.741621622,0.629409433,0.206,0.634,0.294,3/12/2004,09.00.00,0
0.261,0.661764706,0.174936922,0.22,0.504968383,0.126,0.339918002,0.359,0.616936937,0.490289338,0.296,0.47,0.283,3/12/2004,10.00.00,0
0.227,0.619117647,0.13961312,0.182,0.468383017,0.146,0.361162877,0.421,0.575855856,0.46254459,0.321,0.433,0.28,3/12/2004,11.00.00,1
0.176,0.591176471,0.09587889,0.16,0.445347787,0.097,0.385762206,0.332,0.553873874,0.380103052,0.336,0.411,0.278,3/12/2004,12.00.00,0
0.21,0.61372549,0.117746005,0.173,0.458897922,0.108,0.375698845,0.341,0.574054054,0.389615537,0.361,0.389,0.281,3/12/2004,13.00.00,0
0.227,0.630882353,0.142136249,0.201,0.486901536,0.11,0.353708535,0.362,0.598198198,0.420531114,0.365,0.402,0.294,3/12/2004,14.00.00,0
0.244,0.663235294,0.155592935,0.223,0.506775068,0.128,0.343645173,0.371,0.627027027,0.45144669,0.354,0.417,0.296,3/12/2004,15.00.00,0
0.235,0.641666667,0.138772077,0.199,0.48464318,0.12,0.355572121,0.353,0.597117117,0.440745145,0.357,0.419,0.299,3/12/2004,16.00.00,0
0.202,0.624509804,0.111858705,0.184,0.470189702,0.101,0.37495341,0.35,0.58018018,0.393975426,0.379,0.387,0.294,3/12/2004,17.00.00,0
0.328,0.740196078,0.195962994,0.303,0.576784101,0.139,0.302646291,0.438,0.688288288,0.558858502,0.339,0.446,0.303,3/12/2004,18.00.00,1
0.311,0.74754902,0.20353238,0.286,0.562782294,0.137,0.306000745,0.426,0.665585586,0.573919937,0.323,0.489,0.317,3/12/2004,19.00.00,1
0.555,0.903431373,0.410428932,0.512,0.727190605,0.23,0.232575475,0.5,0.861261261,0.747919144,0.289,0.569,0.335,3/12/2004,20.00.00,1
0.37,0.783333333,0.280067283,0.316,0.586720867,0.185,0.280283265,0.438,0.699459459,0.644867222,0.271,0.601,0.338,3/12/2004,21.00.00,1
0.294,0.72745098,0.180824222,0.224,0.509033424,0.171,0.312709653,0.409,0.620900901,0.590963139,0.247,0.666,0.347,3/12/2004,22.00.00,1
0.454,0.822058824,0.308662742,0.342,0.607949413,0.203,0.276183377,0.394,0.743063063,0.656757828,0.217,0.728,0.348,3/12/2004,23.00.00,1
0.227,0.62745098,0.102607233,0.151,0.435411021,0.13,0.358926575,0.332,0.556396396,0.509314308,0.213,0.723,0.341,3/13/2004,00.00.00,0
0.16,0.58627451,0.056349874,0.116,0.394308943,0.094,0.399180022,0.285,0.527207207,0.453428458,0.204,0.72,0.333,3/13/2004,01.00.00,0
0.134,0.580392157,0.036164844,0.085,0.353206865,0.056,0.438315319,0.241,0.491891892,0.41339675,0.197,0.72,0.325,3/13/2004,02.00.00,0
0.143,0.574509804,0.038687973,0.085,0.353658537,0,0.43943347,0,0.497297297,0.394768133,0.175,0.761,0.321,3/13/2004,03.00.00,0
0,0.562254902,0.047098402,0.097,0.370822042,0.074,0.421915766,0.244,0.508828829,0.393182719,0.157,0.802,0.321,3/13/2004,04.00.00,0
0.084,0.479411765,0.025231287,0.041,0.28229449,0.042,0.529258293,0.191,0.459099099,0.324613555,0.186,0.717,0.313,3/13/2004,05.00.00,0
0.101,0.539215686,0.022708158,0.046,0.291779584,0.036,0.524040253,0.176,0.456936937,0.330955212,0.161,0.761,0.309,3/13/2004,06.00.00,0
0.126,0.545098039,0.039529016,0.08,0.347786811,0.094,0.457696608,0.226,0.507747748,0.372572335,0.141,0.811,0.311,3/13/2004,07.00.00,0
0.227,0.654901961,0.111017662,0.185,0.471093044,0.173,0.348490496,0.282,0.604684685,0.472453428,0.146,0.807,0.312,3/13/2004,08.00.00,0
0.311,0.690196078,0.201009251,0.237,0.520776874,0.199,0.309355199,0.35,0.64036036,0.559254855,0.215,0.673,0.319,3/13/2004,09.00.00,1
0.269,0.709313725,0.134566863,0.203,0.488256549,0.169,0.323891167,0.371,0.600720721,0.580657947,0.278,0.577,0.329,3/13/2004,10.00.00,0
0.345,0.755882353,0.238015139,0.253,0.534778681,0.2,0.301155423,0.465,0.641441441,0.627427665,0.35,0.476,0.334,3/13/2004,11.00.00,1
0.303,0.71127451,0.176619008,0.22,0.504516712,0.162,0.326127469,0.474,0.605045045,0.54974237,0.413,0.381,0.318,3/13/2004,12.00.00,1
0.235,0.650980392,0.129520606,0.193,0.478319783,0.103,0.367871785,0.365,0.576576577,0.436385256,0.435,0.353,0.312,3/13/2004,13.00.00,0
0.168,0.591666667,0.094196804,0.135,0.417344173,0.08,0.405516213,0.3,0.536216216,0.336900515,0.404,0.392,0.32,3/13/2004,14.00.00,0
0.168,0.607843137,0.090832632,0.144,0.427732611,0.08,0.390980246,0.341,0.552072072,0.375346809,0.413,0.379,0.316,3/13/2004,15.00.00,0
0.21,0.640196078,0.093355761,0.16,0.445799458,0.093,0.374207976,0.365,0.56,0.427269124,0.395,0.396,0.314,3/13/2004,16.00.00,0
0.193,0.65,0.081581161,0.166,0.451671183,0.1,0.363771897,0.368,0.577297297,0.429647245,0.374,0.426,0.319,3/13/2004,17.00.00,0
0.269,0.722058824,0.160639193,0.243,0.525293586,0.153,0.309727917,0.435,0.641081081,0.552913199,0.361,0.462,0.334,3/13/2004,18.00.00,1
0.353,0.78872549,0.216989066,0.308,0.580849142,0.187,0.282519568,0.485,0.692612613,0.638921918,0.354,0.478,0.339,3/13/2004,19.00.00,1
0.353,0.789705882,0.238856182,0.301,0.575429088,0.189,0.281028699,0.474,0.69009009,0.67261197,0.352,0.497,0.349,3/13/2004,20.00.00,1
0.353,0.794607843,0.226240538,0.287,0.563233966,0.191,0.284010436,0.468,0.67027027,0.74752279,0.343,0.528,0.363,3/13/2004,21.00.00,1
0.261,0.707843137,0.151387721,0.206,0.491869919,0.145,0.314573239,0.421,0.62990991,0.643678161,0.327,0.548,0.361,3/13/2004,22.00.00,1
0.218,0.695098039,0.097560976,0.171,0.456187895,0.116,0.33246366,0.382,0.577657658,0.608799049,0.33,0.556,0.367,3/13/2004,23.00.00,0
0.244,0.751960784,0.078216989,0.173,0.457542909,0.128,0.331345509,0.379,0.580540541,0.608402695,0.312,0.604,0.381,3/14/2004,00.00.00,0
0.235,0.72745098,0.110176619,0.187,0.471996387,0.118,0.327991055,0.35,0.585225225,0.606420927,0.327,0.581,0.383,3/14/2004,01.00.00,0
0.21,0.670098039,0.077375946,0.135,0.417795845,0.087,0.355199404,0.306,0.556036036,0.529924693,0.28,0.664,0.383,3/14/2004,02.00.00,0
0.202,0.658823529,0.111017662,0.152,0.437217706,0,0.343272456,0,0.583783784,0.506539834,0.26,0.715,0.389,3/14/2004,03.00.00,0
0,0.553921569,0.047098402,0.082,0.349141825,0.047,0.421170332,0.241,0.523243243,0.416567578,0.271,0.689,0.385,3/14/2004,04.00.00,0
0.101,0.520588235,0.026913373,0.058,0.312104788,0.036,0.474096161,0.206,0.496216216,0.368212446,0.258,0.711,0.382,3/14/2004,05.00.00,0
0.084,0.52745098,0.024390244,0.039,0.279132791,0.03,0.519940365,0.185,0.48036036,0.345620293,0.26,0.701,0.38,3/14/2004,06.00.00,0
0.076,0.503921569,0.022708158,0.038,0.277777778,0.05,0.515840477,0.197,0.482882883,0.338089576,0.233,0.762,0.382,3/14/2004,07.00.00,0
0.118,0.566176471,0.030277544,0.066,0.326106594,0.068,0.456578457,0.247,0.50954955,0.380103052,0.26,0.707,0.382,3/14/2004,08.00.00,0
0.134,0.605392157,0.047939445,0.1,0.37398374,0.08,0.393216549,0.244,0.55027027,0.433214427,0.278,0.676,0.387,3/14/2004,09.00.00,0
0.185,0.652941176,0.108494533,0.135,0.416892502,0.097,0.354826687,0.288,0.581621622,0.485533096,0.325,0.599,0.391,3/14/2004,10.00.00,0
0.235,0.708333333,0.124474348,0.171,0.455736224,0.119,0.327245621,0.335,0.611171171,0.537059057,0.379,0.52,0.394,3/14/2004,11.00.00,0
0.235,0.694117647,0.12195122,0.168,0.452574526,0.109,0.338054417,0.35,0.604324324,0.500198177,0.433,0.432,0.38,3/14/2004,12.00.00,0
0.168,0.627941176,0.078216989,0.118,0.397470641,0.076,0.404025345,0.306,0.54954955,0.388426476,0.475,0.354,0.35,3/14/2004,13.00.00,0
0.151,0.591666667,0.070647603,0.118,0.39701897,0.07,0.411479687,0.3,0.536936937,0.345620293,0.48,0.34,0.342,3/14/2004,14.00.00,0
0.16,0.616666667,0.083263246,0.129,0.409214092,0.076,0.402907193,0.315,0.544504505,0.356718193,0.491,0.327,0.338,3/14/2004,15.00.00,0
0.252,0.714705882,0.126156434,0.187,0.471996387,0.115,0.363026463,0.379,0.593153153,0.435592549,0.498,0.32,0.337,3/14/2004,16.00.00,0
0.244,0.704901961,0.131202691,0.188,0.474706414,0.122,0.351472233,0.376,0.601081081,0.478002378,0.478,0.347,0.345,3/14/2004,17.00.00,0
0.21,0.724509804,0.102607233,0.192,0.476513098,0.108,0.346254193,0.356,0.602162162,0.500198177,0.442,0.414,0.372,3/14/2004,18.00.00,0
0.387,0.88627451,0.220353238,0.323,0.592592593,0.176,0.280655982,0.462,0.718198198,0.673008323,0.413,0.47,0.391,3/14/2004,19.00.00,1
0.496,0.930392157,0.286795627,0.363,0.623757904,0.22,0.25382035,0.509,0.757837838,0.755053508,0.395,0.52,0.413,3/14/2004,20.00.00,1
0.286,0.764705882,0.179983179,0.231,0.514905149,0.147,0.292210212,0.429,0.655135135,0.653190646,0.374,0.559,0.418,3/14/2004,21.00.00,1
0.176,0.649019608,0.084104289,0.141,0.424570912,0.099,0.344390608,0.356,0.571891892,0.564011098,0.365,0.575,0.419,3/14/2004,22.00.00,0
0.185,0.66127451,0.066442389,0.138,0.421409214,0.103,0.347745061,0.35,0.582702703,0.534680935,0.33,0.63,0.417,3/14/2004,23.00.00,0
0.151,0.607352941,0.055508831,0.116,0.393857272,0.07,0.367126351,0.291,0.557477477,0.495441934,0.332,0.617,0.411,3/15/2004,00.00.00,0
0.151,0.607352941,0.061396131,0.108,0.385275519,0.072,0.376444279,0.274,0.556036036,0.465319065,0.314,0.643,0.407,3/15/2004,01.00.00,0
0.151,0.6,0.055508831,0.11,0.386178862,0.073,0.371971673,0.259,0.564324324,0.455410226,0.3,0.691,0.42,3/15/2004,02.00.00,0
0.092,0.528431373,0.037005887,0.069,0.331526649,0,0.420424898,0,0.535855856,0.404676972,0.283,0.716,0.414,3/15/2004,03.00.00,0
0,0.528431373,0.037005887,0.063,0.321138211,0.045,0.428624674,0.209,0.529009009,0.401506143,0.276,0.737,0.419,3/15/2004,04.00.00,0
0.084,0.526960784,0.032800673,0.061,0.317524842,0.059,0.430860977,0.218,0.527567568,0.400317083,0.267,0.76,0.42,3/15/2004,05.00.00,0
0.118,0.567156863,0.042893188,0.1,0.374887082,0.093,0.383898621,0.235,0.570810811,0.429250892,0.256,0.795,0.425,3/15/2004,06.00.00,0
0.185,0.644117647,0.08999159,0.152,0.436314363,0.154,0.334327246,0.262,0.616216216,0.489496631,0.253,0.791,0.421,3/15/2004,07.00.00,0
0.462,0.880882353,0.282590412,0.407,0.655374887,0.243,0.243011554,0.335,0.837117117,0.66587396,0.278,0.72,0.411,3/15/2004,08.00.00,1
0.681,0.96127451,0.519764508,0.576,0.768292683,0.323,0.200149087,0.438,0.96036036,0.865636147,0.332,0.612,0.407,3/15/2004,09.00.00,2
0.487,0.868137255,0.368376787,0.418,0.66395664,0.266,0.231830041,0.462,0.815135135,0.782005549,0.39,0.514,0.403,3/15/2004,10.00.00,2
0.353,0.766666667,0.280908326,0.316,0.587172538,0.216,0.264629146,0.456,0.731171171,0.712643678,0.444,0.434,0.394,3/15/2004,11.00.00,1
0.261,0.700980392,0.185870479,0.221,0.505871725,0.136,0.309727917,0.394,0.642522523,0.603250099,0.493,0.384,0.399,3/15/2004,12.00.00,1
0.244,0.694607843,0.174095879,0.234,0.517615176,0.116,0.309355199,0.35,0.65981982,0.55648038,0.522,0.363,0.408,3/15/2004,13.00.00,0
0.244,0.68627451,0.160639193,0.242,0.524841915,0.108,0.312336936,0.326,0.659099099,0.50059453,0.536,0.338,0.393,3/15/2004,14.00.00,0
0.21,0.645588235,0.155592935,0.19,0.475609756,0.103,0.345136042,0.306,0.615135135,0.450653983,0.547,0.326,0.392,3/15/2004,15.00.00,0
0.193,0.646078431,0.118587048,0.181,0.466576332,0.097,0.354081252,0.291,0.603603604,0.423305589,0.547,0.331,0.397,3/15/2004,16.00.00,0
0.235,0.708333333,0.179983179,0.232,0.51535682,0.105,0.319418561,0.324,0.657297297,0.496234641,0.534,0.353,0.41,3/15/2004,17.00.00,0
0.513,0.939705882,0.396131203,0.504,0.723125565,0.212,0.235184495,0.476,0.881801802,0.730479588,0.504,0.399,0.428,3/15/2004,18.00.00,1
0.672,1,0.576114382,0.615,0.792231256,0.273,0.202012672,0.55,0.965405405,0.841062228,0.457,0.479,0.452,3/15/2004,19.00.00,2
0.546,0.928921569,0.452481077,0.487,0.710478771,0.216,0.210585166,0.485,0.88036036,0.789536266,0.41,0.593,0.491,3/15/2004,20.00.00,1
0.353,0.781862745,0.268292683,0.312,0.584462511,0.173,0.252702199,0.426,0.741621622,0.676575505,0.374,0.647,0.484,3/15/2004,21.00.00,1
0.269,0.705392157,0.188393608,0.24,0.523486902,0.13,0.28475587,0.368,0.668828829,0.5921522,0.352,0.679,0.477,3/15/2004,22.00.00,0
0.118,0.559803922,0.056349874,0.108,0.384823848,0.06,0.375698845,0.297,0.557477477,0.461355529,0.343,0.692,0.474,3/15/2004,23.00.00,0
0.176,0.639215686,0.130361648,0.174,0.460252936,0.086,0.317554976,0.303,0.623783784,0.504161712,0.316,0.741,0.47,3/16/2004,00.00.00,0
0.101,0.526470588,0.041211102,0.085,0.354110208,0.053,0.409243384,0.259,0.534414414,0.412207689,0.332,0.683,0.455,3/16/2004,01.00.00,0
0.067,0.474509804,0.024390244,0.044,0.289069557,0.029,0.491986582,0.179,0.499459459,0.343638526,0.332,0.667,0.443,3/16/2004,02.00.00,0
0.059,0.455392157,0.021026072,0.036,0.274616079,0,0.51285874,0,0.491531532,0.32738803,0.305,0.7,0.432,3/16/2004,03.00.00,0
0,0.46127451,0.021026072,0.041,0.282746161,0.04,0.490495714,0.174,0.494774775,0.33293698,0.276,0.746,0.424,3/16/2004,04.00.00,0
0.05,0.459313725,0.014297729,0.031,0.264227642,0.026,0.526276556,0.153,0.485765766,0.314308363,0.287,0.713,0.416,3/16/2004,05.00.00,0
0.076,0.498529412,0.022708158,0.055,0.307588076,0.055,0.464405516,0.188,0.510990991,0.344827586,0.251,0.772,0.407,3/16/2004,06.00.00,0
0.109,0.574019608,0.042052145,0.08,0.347786811,0.067,0.433097279,0.206,0.528648649,0.368608799,0.247,0.75,0.39,3/16/2004,07.00.00,0
0.286,0.755392157,0.183347351,0.254,0.535230352,0.178,0.286992173,0.285,0.680720721,0.557669441,0.262,0.718,0.391,3/16/2004,08.00.00,1
0.311,0.754411765,0.239697225,0.309,0.581300813,0.155,0.260156541,0.279,0.740540541,0.597304796,0.305,0.635,0.392,3/16/2004,09.00.00,0
0.445,0.850490196,0.367535744,0.394,0.646341463,0.268,0.234066344,0.441,0.796756757,0.730479588,0.399,0.484,0.389,3/16/2004,10.00.00,2
0.345,0.770098039,0.275021026,0.314,0.585817525,0.212,0.272083489,0.476,0.710990991,0.685295283,0.48,0.375,0.377,3/16/2004,11.00.00,1
0.277,0.711764706,0.238015139,0.287,0.564588979,0.147,0.289228476,0.453,0.673153153,0.627427665,0.547,0.309,0.369,3/16/2004,12.00.00,1
0.336,0.774019608,0.307821699,0.35,0.613821138,0.17,0.269847186,0.474,0.72,0.662306778,0.567,0.294,0.37,3/16/2004,13.00.00,1
0.319,0.718627451,0.26745164,0.32,0.591237579,0.178,0.288110324,0.474,0.683603604,0.590963139,0.578,0.262,0.34,3/16/2004,14.00.00,1
0.235,0.62745098,0.19175778,0.229,0.513098464,0.122,0.332836377,0.376,0.603603604,0.491478399,0.605,0.228,0.318,3/16/2004,15.00.00,0
0.244,0.689705882,0.169049622,0.261,0.540650407,0.124,0.337308982,0.379,0.633873874,0.520412208,0.632,0.21,0.314,3/16/2004,16.00.00,0
0.244,0.680882353,0.167367536,0.248,0.529810298,0.128,0.334699963,0.391,0.626666667,0.540229885,0.628,0.215,0.318,3/16/2004,17.00.00,1
0.286,0.709313725,0.199327166,0.279,0.557813911,0.124,0.320163996,0.409,0.640720721,0.513674197,0.536,0.29,0.337,3/16/2004,18.00.00,1
0.328,0.760294118,0.219512195,0.3,0.574074074,0.122,0.298173686,0.403,0.675675676,0.56757828,0.478,0.392,0.391,3/16/2004,19.00.00,1
0.269,0.72254902,0.193439865,0.248,0.529810298,0.112,0.31830041,0.421,0.64,0.56757828,0.457,0.414,0.39,3/16/2004,20.00.00,1
0.429,0.882352941,0.29352397,0.391,0.644083107,0.214,0.260901975,0.521,0.758918919,0.806183115,0.426,0.466,0.404,3/16/2004,21.00.00,1
0.218,0.675980392,0.153910849,0.212,0.497289973,0.124,0.304882594,0.406,0.616216216,0.634958383,0.401,0.517,0.419,3/16/2004,22.00.00,1
0.143,0.58872549,0.074011775,0.143,0.425925926,0.088,0.348490496,0.344,0.562162162,0.539833532,0.374,0.551,0.414,3/16/2004,23.00.00,0
0.143,0.590686275,0.071488646,0.135,0.417795845,0.089,0.343645173,0.315,0.557477477,0.520808561,0.348,0.596,0.416,3/17/2004,00.00.00,0
0.101,0.525490196,0.039529016,0.085,0.354110208,0.064,0.397316437,0.265,0.51963964,0.441537852,0.348,0.585,0.406,3/17/2004,01.00.00,0
0.076,0.489215686,0.028595458,0.064,0.322493225,0.047,0.435706299,0.232,0.498378378,0.393182719,0.316,0.627,0.399,3/17/2004,02.00.00,0
0.059,0.457352941,0.021867115,0.041,0.28229449,0,0.481550503,0,0.48,0.350376536,0.294,0.653,0.389,3/17/2004,03.00.00,0
0,0.432843137,0.014297729,0.03,0.260614273,0.037,0.520313082,0.176,0.46954955,0.320253666,0.285,0.653,0.379,3/17/2004,04.00.00,0
0.042,0.425980392,0.009251472,0.025,0.250225836,0.019,0.544166977,0.118,0.456936937,0.264367816,0.265,0.654,0.36,3/17/2004,05.00.00,0
0.042,0.436764706,0.015138772,0.03,0.260162602,0.031,0.528140142,0.156,0.464504505,0.29052715,0.267,0.647,0.358,3/17/2004,06.00.00,0
0.134,0.575,0.070647603,0.118,0.396567299,0.108,0.386880358,0.247,0.560720721,0.416963932,0.222,0.735,0.357,3/17/2004,07.00.00,0
0.345,0.777941176,0.218671152,0.336,0.602529359,0.216,0.26164741,0.318,0.72036036,0.608006342,0.249,0.679,0.357,3/17/2004,08.00.00,1
0.555,0.907843137,0.449116905,0.571,0.766034327,0.255,0.206112561,0.374,0.913513514,0.7653587,0.316,0.564,0.359,3/17/2004,09.00.00,1
0.361,0.746078431,0.309503785,0.334,0.601174345,0.189,0.262020127,0.394,0.73009009,0.687277051,0.397,0.452,0.361,3/17/2004,10.00.00,1
0.244,0.704901961,0.168208579,0.242,0.524390244,0.149,0.305255311,0.397,0.642162162,0.632183908,0.473,0.377,0.371,3/17/2004,11.00.00,1
0.21,0.682843137,0.12195122,0.196,0.481933153,0.142,0.337308982,0.418,0.596036036,0.590566786,0.545,0.319,0.38,3/17/2004,12.00.00,1
0.235,0.711764706,0.158116064,0.237,0.520325203,0.138,0.32090943,0.45,0.62954955,0.597701149,0.574,0.289,0.37,3/17/2004,13.00.00,1
0.218,0.680882353,0.12783852,0.215,0.500451671,0.109,0.330600075,0.362,0.616936937,0.528735632,0.581,0.292,0.381,3/17/2004,14.00.00,0
0.168,0.591666667,0.086627418,0.163,0.448961156,0.091,0.37756243,0.306,0.547747748,0.414189457,0.601,0.211,0.291,3/17/2004,15.00.00,0
0.244,0.669117647,0.162321278,0.239,0.521228546,0.126,0.350354081,0.379,0.605045045,0.483947681,0.657,0.178,0.283,3/17/2004,16.00.00,0
0.21,0.61127451,0.112699748,0.193,0.478771454,0.099,0.384644055,0.335,0.54954955,0.423701942,0.639,0.168,0.256,3/17/2004,17.00.00,0
0.42,0.763235294,0.324642557,0.424,0.667570009,0.202,0.295564666,0.465,0.713873874,0.621878716,0.581,0.18,0.235,3/17/2004,18.00.00,1
0.639,0.967156863,0.485281749,0.603,0.784552846,0.278,0.229966455,0.571,0.86990991,0.91399128,0.518,0.299,0.332,3/17/2004,19.00.00,2
0.563,0.968137255,0.439865433,0.551,0.752935863,0.235,0.222512113,0.535,0.870630631,0.934998018,0.46,0.431,0.409,3/17/2004,20.00.00,1
0.479,0.879901961,0.396972246,0.427,0.670731707,0.227,0.243384271,0.529,0.783423423,0.812524772,0.428,0.48,0.416,3/17/2004,21.00.00,1
0.235,0.707843137,0.173254836,0.235,0.519421861,0.137,0.286992173,0.4,0.622342342,0.684502576,0.386,0.497,0.384,3/17/2004,22.00.00,1
0.218,0.729411765,0.181665265,0.246,0.528906956,0.12,0.272456206,0.374,0.640720721,0.675782798,0.359,0.574,0.413,3/17/2004,23.00.00,0
0.193,0.672058824,0.13372582,0.204,0.489159892,0.104,0.296682818,0.341,0.601441441,0.614744352,0.332,0.608,0.404,3/18/2004,00.00.00,0
