CO(GT),C6H6(GT),NOx(GT),NO2(GT),Date,Time,PollutionLevel
0.243697479,0.233908948,0.115618661,0.35,3/15/2004,13.00.00,2
0.210084034,0.189952904,0.103448276,0.305882353,3/15/2004,15.00.00,2
0.193277311,0.180533752,0.096686951,0.291176471,3/15/2004,16.00.00,2
0.235294118,0.232339089,0.105476673,0.323529412,3/15/2004,17.00.00,2
0.546218487,0.486656201,0.216362407,0.485294118,3/15/2004,20.00.00,2
0.067226891,0.043956044,0.029073698,0.179411765,3/16/2004,02.00.00,0
0.058823529,0.03610675,0,0,3/16/2004,03.00.00,0
0.075630252,0.054945055,0.055442867,0.188235294,3/16/2004,06.00.00,0
0.109243697,0.080062794,0.06693712,0.205882353,3/16/2004,07.00.00,0
0.285714286,0.254317111,0.177822853,0.285294118,3/16/2004,08.00.00,2
0.31092437,0.309262166,0.154834348,0.279411765,3/16/2004,09.00.00,2
0.445378151,0.394034537,0.267748479,0.441176471,3/16/2004,10.00.00,2
0.344537815,0.313971743,0.212305612,0.476470588,3/16/2004,11.00.00,2
0.277310924,0.287284144,0.146720757,0.452941176,3/16/2004,12.00.00,2
0.336134454,0.350078493,0.170385396,0.473529412,3/16/2004,13.00.00,2
0.319327731,0.320251177,0.177822853,0.473529412,3/16/2004,14.00.00,2
0.235294118,0.229199372,0.121703854,0.376470588,3/16/2004,15.00.00,2
0.243697479,0.248037677,0.128465179,0.391176471,3/16/2004,17.00.00,2
0.285714286,0.279434851,0.124408384,0.408823529,3/16/2004,18.00.00,2
0.327731092,0.299843014,0.122379986,0.402941176,3/16/2004,19.00.00,2
0.428571429,0.390894819,0.214334009,0.520588235,3/16/2004,21.00.00,2
0.218487395,0.211930926,0.124408384,0.405882353,3/16/2004,22.00.00,2
0.075630252,0.064364207,0.047329277,0.232352941,3/17/2004,02.00.00,1
0,0.029827316,0.036511156,0.176470588,3/17/2004,04.00.00,0
0.042016807,0.025117739,0.018931711,0.117647059,3/17/2004,05.00.00,0
0.134453782,0.117739403,0.108181204,0.247058824,3/17/2004,07.00.00,1
0.344537815,0.335949765,0.216362407,0.317647059,3/17/2004,08.00.00,2
0.243697479,0.241758242,0.149425287,0.397058824,3/17/2004,11.00.00,2
0.210084034,0.196232339,0.14198783,0.417647059,3/17/2004,12.00.00,2
0.235294118,0.237048666,0.137931034,0.45,3/17/2004,13.00.00,2
0.168067227,0.163265306,0.09127789,0.305882353,3/17/2004,15.00.00,1
0.420168067,0.423861852,0.202163624,0.464705882,3/17/2004,18.00.00,2
0.638655462,0.602825746,0.277890467,0.570588235,3/17/2004,19.00.00,2
0.56302521,0.551020408,0.234617985,0.535294118,3/17/2004,20.00.00,2
0.478991597,0.42700157,0.227180527,0.529411765,3/17/2004,21.00.00,2
0.218487395,0.246467818,0.120351589,0.373529412,3/17/2004,23.00.00,2
0.193277311,0.204081633,0.104124408,0.341176471,3/18/2004,00.00.00,2
0.117647059,0.127158556,0.062204192,0.314705882,3/18/2004,01.00.00,1
0.084033613,0.086342229,0.041244084,0.258823529,3/18/2004,02.00.00,1
0.058823529,0.056514914,0,0,3/18/2004,03.00.00,0
0,0.045525903,0.040567951,0.229411765,3/18/2004,04.00.00,1
0.050420168,0.039246468,0.025016903,0.167647059,3/18/2004,05.00.00,0
0.12605042,0.120879121,0.093982421,0.25,3/18/2004,07.00.00,1
0.554621849,0.562009419,0.284651792,0.444117647,3/18/2004,09.00.00,2
0.378151261,0.334379906,0.23597025,0.441176471,3/18/2004,10.00.00,2
0.235294118,0.224489796,0.151453685,0.447058824,3/18/2004,11.00.00,2
0.18487395,0.196232339,0.115618661,0.408823529,3/18/2004,12.00.00,2
0.18487395,0.191522763,0.100743746,0.391176471,3/18/2004,13.00.00,2
0.193277311,0.205651491,0.092630156,0.370588235,3/18/2004,14.00.00,2
0.18487395,0.226059655,0.100743746,0.376470588,3/18/2004,15.00.00,2
0.235294118,0.263736264,0.116294794,0.497058824,3/18/2004,16.00.00,2
0.226890756,0.227629513,0.112237999,0.438235294,3/18/2004,17.00.00,2
0.31092437,0.337519623,0.14469236,0.458823529,3/18/2004,18.00.00,2
0.428571429,0.4144427,0.189317106,0.494117647,3/18/2004,19.00.00,2
0.428571429,0.408163265,0.186612576,0.517647059,3/18/2004,20.00.00,2
0.268907563,0.221350078,0.120351589,0.397058824,3/18/2004,21.00.00,2
0.142857143,0.130298273,0.06423259,0.291176471,3/18/2004,23.00.00,1
0.168067227,0.139717425,0.085192698,0.311764706,3/19/2004,00.00.00,1
0.134453782,0.103610675,0.06964165,0.282352941,3/19/2004,01.00.00,1
0.075630252,0.056514914,0.032454361,0.185294118,3/19/2004,02.00.00,0
0.042016807,0.020408163,0.012170385,0.082352941,3/19/2004,05.00.00,0
0.058823529,0.03610675,0.037863421,0.179411765,3/19/2004,06.00.00,0
0.12605042,0.105180534,0.07775524,0.291176471,3/19/2004,07.00.00,1
0.403361345,0.357927786,0.216362407,0.461764706,3/19/2004,08.00.00,2
0.521008403,0.491365777,0.24137931,0.488235294,3/19/2004,09.00.00,2
0.277310924,0.257456829,0.14739689,0.397058824,3/19/2004,11.00.00,2
0.235294118,0.21978022,0.129817444,0.373529412,3/19/2004,12.00.00,2
0.25210084,0.240188383,0.118999324,0.358823529,3/19/2004,13.00.00,2
0.277310924,0.262166405,0.133874239,0.397058824,3/19/2004,14.00.00,2
0.294117647,0.298273155,0.143340095,0.408823529,3/19/2004,15.00.00,2
0.386554622,0.328100471,0.182555781,0.464705882,3/19/2004,17.00.00,2
0.344537815,0.31711146,0.156186613,0.429411765,3/19/2004,18.00.00,2
0.378151261,0.340659341,0.169709263,0.423529412,3/19/2004,19.00.00,2
0.336134454,0.262166405,0.168356998,0.420588235,3/19/2004,21.00.00,2
0.18487395,0.142857143,0.096686951,0.341176471,3/19/2004,22.00.00,2
0.142857143,0.091051805,0.070317782,0.270588235,3/20/2004,00.00.00,1
0.109243697,0.064364207,0.050033807,0.238235294,3/20/2004,02.00.00,1
0,0.045525903,0.029749831,0.161764706,3/20/2004,04.00.00,0
0.067226891,0.04866562,0.028397566,0.155882353,3/20/2004,05.00.00,0
0.067226891,0.039246468,0.042596349,0.197058824,3/20/2004,06.00.00,0
0.176470588,0.139717425,0.114942529,0.332352941,3/20/2004,08.00.00,2
0.201680672,0.164835165,0.099391481,0.3,3/20/2004,09.00.00,2
0.218487395,0.183673469,0.123056119,0.317647059,3/20/2004,12.00.00,2
0.176470588,0.14599686,0.084516565,0.273529412,3/20/2004,14.00.00,1
0.134453782,0.105180534,0.053414469,0.223529412,3/20/2004,16.00.00,1
0.193277311,0.19466248,0.096010818,0.323529412,3/20/2004,18.00.00,2
0.294117647,0.260596546,0.145368492,0.4,3/20/2004,19.00.00,2
0.327731092,0.257456829,0.154834348,0.408823529,3/20/2004,20.00.00,2
0.193277311,0.155416013,0.099391481,0.326470588,3/20/2004,22.00.00,2
0.176470588,0.139717425,0.082488168,0.285294118,3/20/2004,23.00.00,1
0.176470588,0.116169545,0.089925625,0.264705882,3/21/2004,01.00.00,1
0.134453782,0.09733124,0.060175794,0.247058824,3/21/2004,02.00.00,1
0.134453782,0.102040816,0,0,3/21/2004,03.00.00,1
0,0.091051805,0.057471264,0.255882353,3/21/2004,04.00.00,1
0.058823529,0.032967033,0.016227181,0.105882353,3/21/2004,06.00.00,0
0.067226891,0.056514914,0.048681542,0.182352941,3/21/2004,07.00.00,0
0.117647059,0.08477237,0.07505071,0.261764706,3/21/2004,09.00.00,1
0.142857143,0.111459969,0.0831643,0.273529412,3/21/2004,10.00.00,1
0.151260504,0.114599686,0.071670047,0.238235294,3/21/2004,11.00.00,1
0.159663866,0.106750392,0.068965517,0.235294118,3/21/2004,13.00.00,1
0.109243697,0.072213501,0.032454361,0.141176471,3/21/2004,14.00.00,0
0.159663866,0.108320251,0.066260987,0.261764706,3/21/2004,16.00.00,1
0.193277311,0.141287284,0.089249493,0.308823529,3/21/2004,17.00.00,2
0.319327731,0.237048666,0.116970926,0.341176471,3/21/2004,18.00.00,2
0.361344538,0.237048666,0.179851251,0.423529412,3/21/2004,20.00.00,2
0.235294118,0.155416013,0.127112914,0.361764706,3/21/2004,21.00.00,2
0.159663866,0.125588697,0.082488168,0.308823529,3/21/2004,22.00.00,1
0.159663866,0.124018838,0.075726842,0.273529412,3/21/2004,23.00.00,1
0.050420168,0.026687598,0.015551048,0.097058824,3/22/2004,02.00.00,0
0.025210084,0.010989011,0.010141988,0.067647059,3/22/2004,05.00.00,0
0.050420168,0.031397174,0.027721433,0.135294118,3/22/2004,06.00.00,0
0.100840336,0.080062794,0.058147397,0.223529412,3/22/2004,07.00.00,1
0.302521008,0.277864992,0.15280595,0.341176471,3/22/2004,08.00.00,2
0.31092437,0.288854003,0.14469236,0.338235294,3/22/2004,09.00.00,2
0.159663866,0.150706436,0.082488168,0.264705882,3/22/2004,12.00.00,1
0.168067227,0.163265306,0.07234618,0.255882353,3/22/2004,13.00.00,1
0.18487395,0.175824176,0.089925625,0.291176471,3/22/2004,14.00.00,2
0.176470588,0.167974882,0.087897228,0.291176471,3/22/2004,15.00.00,1
0.193277311,0.182103611,0.101419878,0.297058824,3/22/2004,16.00.00,2
0.218487395,0.19466248,0.093306288,0.302941176,3/22/2004,17.00.00,2
0.369747899,0.32967033,0.156862745,0.420588235,3/22/2004,19.00.00,2
0.378151261,0.32967033,0.16091954,0.429411765,3/22/2004,20.00.00,2
0.277310924,0.227629513,0.121703854,0.364705882,3/22/2004,21.00.00,2
0.168067227,0.131868132,0.086544963,0.332352941,3/22/2004,22.00.00,2
0.092436975,0.067503925,0.043948614,0.235294118,3/22/2004,23.00.00,1
0.075630252,0.059654631,0.035835024,0.211764706,3/23/2004,00.00.00,0
0.067226891,0.042386185,0.031778229,0.188235294,3/23/2004,01.00.00,0
0.058823529,0.039246468,0.034482759,0.205882353,3/23/2004,02.00.00,0
0.042016807,0.018838305,0,0,3/23/2004,03.00.00,0
0,0.01255887,0.01352265,0.091176471,3/23/2004,04.00.00,0
0.042016807,0.028257457,0.022312373,0.138235294,3/23/2004,06.00.00,0
0.092436975,0.072213501,0.06964165,0.258823529,3/23/2004,07.00.00,1
0.25210084,0.222919937,0.151453685,0.382352941,3/23/2004,08.00.00,2
0.319327731,0.32967033,0.164976335,0.388235294,3/23/2004,09.00.00,2
0.285714286,0.254317111,0.160243408,0.388235294,3/23/2004,10.00.00,2
0.25210084,0.2433281,0.148749155,0.385294118,3/23/2004,11.00.00,2
0.226890756,0.210361068,0.139959432,0.379411765,3/23/2004,12.00.00,2
0.294117647,0.265306122,0.140635565,0.388235294,3/23/2004,13.00.00,2
0.168067227,0.136577708,0.086544963,0.294117647,3/23/2004,16.00.00,1
0.226890756,0.204081633,0.08857336,0.329411765,3/23/2004,19.00.00,2
0.277310924,0.224489796,0.112237999,0.376470588,3/23/2004,20.00.00,2
0.142857143,0.119309262,0.060175794,0.297058824,3/23/2004,21.00.00,1
0.109243697,0.083202512,0.054766734,0.282352941,3/23/2004,22.00.00,1
0.109243697,0.08477237,0.052738337,0.252941176,3/23/2004,23.00.00,1
0.100840336,0.076923077,0.047329277,0.25,3/24/2004,00.00.00,1
0.092436975,0.072213501,0.051386072,0.232352941,3/24/2004,01.00.00,1
0.050420168,0.025117739,0,0,3/24/2004,03.00.00,0
0,0.026687598,0.029749831,0.194117647,3/24/2004,04.00.00,0
0.050420168,0.018838305,0.022988506,0.158823529,3/24/2004,05.00.00,0
0.067226891,0.026687598,0.029073698,0.167647059,3/24/2004,06.00.00,0
0.100840336,0.075353218,0.053414469,0.220588235,3/24/2004,07.00.00,1
0.260504202,0.216640502,0.117647059,0.285294118,3/24/2004,08.00.00,2
0.369747899,0.372056515,0.158891143,0.323529412,3/24/2004,09.00.00,2
0.285714286,0.222919937,0.14739689,0.332352941,3/24/2004,10.00.00,2
0.142857143,0.125588697,0.091954023,0.258823529,3/24/2004,11.00.00,1
0.142857143,0.136577708,0.08045977,0.282352941,3/24/2004,13.00.00,1
0.18487395,0.169544741,0.085192698,0.311764706,3/24/2004,14.00.00,2
0.294117647,0.226059655,0.128465179,0.4,3/24/2004,20.00.00,2
0.218487395,0.147566719,0.114266396,0.367647059,3/24/2004,21.00.00,2
0.142857143,0.092621664,0.079783638,0.317647059,3/24/2004,22.00.00,1
0.109243697,0.070643642,0.054766734,0.255882353,3/24/2004,23.00.00,1
0.109243697,0.070643642,0.054090602,0.261764706,3/25/2004,00.00.00,1
0.084033613,0.039246468,0.028397566,0.170588235,3/25/2004,01.00.00,0
0.058823529,0.028257457,0.025693036,0.158823529,3/25/2004,02.00.00,0
0.058823529,0.021978022,0,0,3/25/2004,03.00.00,0
0.042016807,0.014128728,0.012170385,0.082352941,3/25/2004,04.00.00,0
0.042016807,0.009419152,0.00811359,0.058823529,3/25/2004,05.00.00,0
0.050420168,0.021978022,0.029073698,0.15,3/25/2004,06.00.00,0
0.092436975,0.059654631,0.056795132,0.241176471,3/25/2004,07.00.00,1
0.226890756,0.182103611,0.124408384,0.329411765,3/25/2004,08.00.00,2
0.193277311,0.138147567,0.089925625,0.291176471,3/25/2004,10.00.00,2
0.134453782,0.106750392,0.087897228,0.288235294,3/25/2004,11.00.00,1
0.168067227,0.139717425,0.089249493,0.282352941,3/25/2004,13.00.00,1
0.159663866,0.128728414,0.071670047,0.238235294,3/25/2004,14.00.00,1
0.159663866,0.135007849,0.084516565,0.270588235,3/25/2004,15.00.00,1
0.18487395,0.15855573,0.093306288,0.308823529,3/25/2004,16.00.00,2
0.168067227,0.147566719,0.081135903,0.258823529,3/25/2004,17.00.00,1
0.243697479,0.229199372,0.106828938,0.302941176,3/25/2004,18.00.00,2
0.386554622,0.339089482,0.156186613,0.391176471,3/25/2004,20.00.00,2
0.210084034,0.161695447,0.101419878,0.35,3/25/2004,21.00.00,2
0.12605042,0.089481947,0.06693712,0.311764706,3/25/2004,22.00.00,1
0.100840336,0.070643642,0.050709939,0.270588235,3/25/2004,23.00.00,1
0.142857143,0.086342229,0.062880325,0.285294118,3/26/2004,00.00.00,1
0.117647059,0.075353218,0.053414469,0.267647059,3/26/2004,01.00.00,1
0.100840336,0.056514914,0.045300879,0.244117647,3/26/2004,02.00.00,1
0.067226891,0.047095761,0.048681542,0.214705882,3/26/2004,05.00.00,0
0.134453782,0.105180534,0.089249493,0.264705882,3/26/2004,07.00.00,1
0.285714286,0.262166405,0.161595673,0.323529412,3/26/2004,08.00.00,2
0.319327731,0.302982732,0.185936444,0.335294118,3/26/2004,09.00.00,2
0.226890756,0.210361068,0.121703854,0.355882353,3/26/2004,11.00.00,2
0.168067227,0.172684458,0.075726842,0.285294118,3/26/2004,12.00.00,1
0.193277311,0.196232339,0.078431373,0.291176471,3/26/2004,13.00.00,2
0.109243697,0.083202512,0.060175794,0.220588235,3/26/2004,15.00.00,1
0.159663866,0.138147567,0.075726842,0.255882353,3/26/2004,16.00.00,1
0.193277311,0.175824176,0.08586883,0.3,3/26/2004,17.00.00,2
0.226890756,0.19466248,0.081135903,0.288235294,3/26/2004,19.00.00,2
0.218487395,0.166405024,0.081135903,0.273529412,3/26/2004,20.00.00,2
0.12605042,0.094191523,0.06693712,0.267647059,3/26/2004,21.00.00,1
0.084033613,0.050235479,0.047329277,0.232352941,3/27/2004,01.00.00,1
0.092436975,0.059654631,0,0,3/27/2004,03.00.00,0
0.075630252,0.037676609,0.036511156,0.173529412,3/27/2004,06.00.00,0
0.092436975,0.051805338,0.045977011,0.191176471,3/27/2004,07.00.00,0
0.151260504,0.133437991,0.086544963,0.247058824,3/27/2004,09.00.00,1
0.176470588,0.147566719,0.087897228,0.291176471,3/27/2004,11.00.00,1
0.159663866,0.141287284,0.07505071,0.273529412,3/27/2004,12.00.00,1
0.176470588,0.156985871,0.071670047,0.282352941,3/27/2004,13.00.00,1
0.210084034,0.197802198,0.092630156,0.335294118,3/27/2004,14.00.00,2
0.159663866,0.119309262,0.076402975,0.297058824,3/27/2004,15.00.00,1
0.18487395,0.185243328,0.082488168,0.317647059,3/27/2004,16.00.00,2
0.193277311,0.175824176,0.092630156,0.344117647,3/27/2004,17.00.00,2
0.226890756,0.19466248,0.111561866,0.367647059,3/27/2004,18.00.00,2
0.235294118,0.191522763,0.117647059,0.35,3/27/2004,20.00.00,2
0.134453782,0.106750392,0.068965517,0.282352941,3/27/2004,22.00.00,1
0.176470588,0.135007849,0.087897228,0.308823529,3/27/2004,23.00.00,1
0.193277311,0.139717425,0.081812035,0.3,3/28/2004,00.00.00,2
0.193277311,0.130298273,0.07505071,0.285294118,3/28/2004,01.00.00,2
0.142857143,0.098901099,0.058823529,0.232352941,3/28/2004,02.00.00,1
0.18487395,0.130298273,0,0,3/28/2004,03.00.00,2
0.117647059,0.056514914,0.061528059,0.202941176,3/28/2004,07.00.00,0
0.109243697,0.073783359,0.070993915,0.220588235,3/28/2004,08.00.00,1
0.159663866,0.117739403,0.089925625,0.244117647,3/28/2004,09.00.00,1
0.193277311,0.141287284,0.086544963,0.276470588,3/28/2004,10.00.00,2
0.193277311,0.149136578,0.085192698,0.282352941,3/28/2004,11.00.00,2
0.151260504,0.120879121,0.062204192,0.252941176,3/28/2004,12.00.00,1
0.084033613,0.059654631,0.033806626,0.155882353,3/28/2004,14.00.00,0
0.117647059,0.075353218,0.047329277,0.191176471,3/28/2004,15.00.00,0
0.109243697,0.067503925,0.049357674,0.205882353,3/28/2004,16.00.00,0
0.109243697,0.064364207,0.052062204,0.220588235,3/28/2004,17.00.00,1
0.117647059,0.073783359,0.058147397,0.252941176,3/28/2004,18.00.00,1
0.159663866,0.09733124,0.062880325,0.276470588,3/28/2004,19.00.00,1
0.151260504,0.086342229,0.070993915,0.302941176,3/28/2004,20.00.00,1
0.092436975,0.051805338,0.045300879,0.238235294,3/28/2004,21.00.00,1
0.092436975,0.050235479,0.042596349,0.235294118,3/28/2004,22.00.00,1
0.092436975,0.045525903,0.042596349,0.226470588,3/28/2004,23.00.00,1
0.042016807,0.017268446,0.014874915,0.111764706,3/29/2004,02.00.00,0
0.058823529,0.020408163,0,0,3/29/2004,03.00.00,0
0.050420168,0.018838305,0.026369168,0.173529412,3/29/2004,04.00.00,0
0.058823529,0.026687598,0.037187289,0.205882353,3/29/2004,05.00.00,0
0.075630252,0.045525903,0.051386072,0.220588235,3/29/2004,06.00.00,1
0.243697479,0.224489796,0.122379986,0.302941176,3/29/2004,07.00.00,2
0.344537815,0.309262166,0.175118323,0.394117647,3/29/2004,08.00.00,2
0.12605042,0.086342229,0.079783638,0.288235294,3/29/2004,09.00.00,1
0.12605042,0.087912088,0.08045977,0.285294118,3/29/2004,10.00.00,1
0.12605042,0.091051805,0.0831643,0.288235294,3/29/2004,11.00.00,1
0.134453782,0.102040816,0.061528059,0.244117647,3/29/2004,13.00.00,1
0.117647059,0.081632653,0.068965517,0.238235294,3/29/2004,15.00.00,1
0.12605042,0.091051805,0.063556457,0.264705882,3/29/2004,16.00.00,1
0.210084034,0.160125589,0.085192698,0.335294118,3/29/2004,18.00.00,2
0.176470588,0.128728414,0.073022312,0.311764706,3/29/2004,19.00.00,1
0.134453782,0.089481947,0.06423259,0.291176471,3/29/2004,20.00.00,1
0.100840336,0.059654631,0.052738337,0.264705882,3/29/2004,21.00.00,1
0.092436975,0.062794349,0.041244084,0.241176471,3/29/2004,22.00.00,1
0.058823529,0.028257457,0.027721433,0.194117647,3/30/2004,01.00.00,0
0.058823529,0.026687598,0.031102096,0.214705882,3/30/2004,02.00.00,0
0,0.020408163,0.027721433,0.202941176,3/30/2004,04.00.00,0
0.218487395,0.210361068,0.129141312,0.338235294,3/30/2004,07.00.00,2
0.336134454,0.373626374,0.164976335,0.382352941,3/30/2004,08.00.00,2
0.352941176,0.337519623,0.191345504,0.441176471,3/30/2004,09.00.00,2
0.394957983,0.32967033,0.216362407,0.467647059,3/30/2004,10.00.00,2
0.327731092,0.288854003,0.168356998,0.429411765,3/30/2004,11.00.00,2
0.31092437,0.296703297,0.148073022,0.405882353,3/30/2004,12.00.00,2
0.285714286,0.26844584,0.135226504,0.376470588,3/30/2004,13.00.00,2
0.18487395,0.163265306,0.093306288,0.285294118,3/30/2004,14.00.00,2
0.159663866,0.125588697,0.079783638,0.267647059,3/30/2004,15.00.00,1
0.176470588,0.152276295,0.075726842,0.291176471,3/30/2004,17.00.00,1
0.201680672,0.136577708,0.089249493,0.3,3/30/2004,20.00.00,2
0.12605042,0.073783359,0.054090602,0.267647059,3/30/2004,23.00.00,1
0.109243697,0.059654631,0.045977011,0.241176471,3/31/2004,00.00.00,1
0.084033613,0.042386185,0.029749831,0.188235294,3/31/2004,01.00.00,0
0.075630252,0.043956044,0.031778229,0.205882353,3/31/2004,02.00.00,0
0.050420168,0.023547881,0.029749831,0.170588235,3/31/2004,05.00.00,0
0.084033613,0.054945055,0.057471264,0.273529412,3/31/2004,06.00.00,1
0.260504202,0.244897959,0.139959432,0.323529412,3/31/2004,07.00.00,2
0.344537815,0.312401884,0.15551048,0.338235294,3/31/2004,08.00.00,2
0.18487395,0.135007849,0.122379986,0.367647059,3/31/2004,09.00.00,2
0.142857143,0.102040816,0.097363083,0.347058824,3/31/2004,10.00.00,2
0.159663866,0.120879121,0.094658553,0.320588235,3/31/2004,11.00.00,1
0.243697479,0.177394035,0.137931034,0.361764706,3/31/2004,12.00.00,2
0.18487395,0.142857143,0.100743746,0.335294118,3/31/2004,13.00.00,2
0.193277311,0.15855573,0.102772143,0.326470588,3/31/2004,16.00.00,2
0.201680672,0.177394035,0.086544963,0.302941176,3/31/2004,17.00.00,2
0.193277311,0.14599686,0.08857336,0.308823529,3/31/2004,20.00.00,2
0.117647059,0.080062794,0.040567951,0.232352941,3/31/2004,22.00.00,1
